Cycle	11350 mV	11300 mV	11250 mV	11200 mV	11150 mV	11100 mV	11050 mV	11000 mV	10950 mV	10900 mV	10850 mV	10800 mV	DCHG Capacity	CHG Capacity
109	615	1290	2010	2790	3540	4200	4875	5400	5820	6570	7050	7215	2013.500000	2023.145874	
110	600	1275	2010	2775	3525	4185	4860	5385	5805	6555	7020	7185	2013.779175	2024.083374	
111	615	1275	2010	2775	3525	4200	4875	5385	5805	6555	7035	7200	2013.579224	2027.020874	
112	615	1275	1995	2775	3525	4185	4875	5385	5805	6555	7035	7200	2015.500000	2024.787476	
113	615	1275	2010	2775	3525	4185	4860	5385	5805	6555	7035	7200	2015.691650	2024.712524	
114	615	1290	2010	2775	3525	4200	4875	5385	5805	6555	7035	7200	2013.425049	2027.804199	
115	615	1290	2010	2775	3525	4185	4875	5385	5805	6540	7035	7200	2011.391724	2032.537476	
116	600	1275	1995	2760	3510	4170	4845	5370	5790	6525	7020	7185	2018.316650	2024.612549	
117	600	1290	1995	2775	3525	4185	4860	5385	5805	6540	7020	7185	2013.616699	2030.370850	
118	600	1275	1995	2760	3510	4185	4845	5370	5790	6525	7005	7170	2007.683350	2022.733276	
119	615	1275	1995	2760	3510	4170	4845	5370	5790	6525	7020	7185	2013.729126	2026.008301	
120	615	1275	2010	2775	3525	4185	4860	5370	5790	6525	7020	7185	2013.870850	2024.675049	
121	600	1275	1995	2760	3510	4170	4845	5355	5790	6525	7005	7170	2009.699951	2029.795776	
122	600	1275	1995	2760	3510	4170	4845	5370	5790	6510	7005	7170	2005.670776	2025.354126	
123	615	1275	1995	2760	3510	4170	4845	5370	5790	6525	7020	7185	2014.233276	2023.329224	
124	615	1290	2010	2775	3510	4170	4845	5370	5790	6510	7020	7185	2012.637451	2025.295776	
125	615	1290	1995	2760	3510	4170	4845	5370	5790	6510	7005	7185	2010.120850	2031.483276	
126	615	1275	1995	2760	3495	4170	4845	5370	5790	6495	7005	7170	1991.120850	2007.620850	
